,location,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,Name_2010,lat,lng
33,"Ahoskie, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3579.0,4583.0,5105.0,4887.0,4391.0,4523.0,5039.0,Ahoskie town,36.2868223,-76.98468079999999
34,"Aiken, SC",0.0,0.0,3414.0,3911.0,4103.0,6033.0,6168.0,7083.0,11243.0,13436.0,14978.0,19872.0,25337.0,29524.0,Aiken city,33.56041679999999,-81.71955329999999
35,"Airmont, NY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7799.0,8628.0,Airmont village,41.1009293,-74.11625440000002
36,"Airway Heights, WA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,6114.0,Airway Heights city,47.644611,-117.5932728
37,"Akron, NY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2841.0,2863.0,2971.0,2906.0,3085.0,2868.0,Akron village,43.0208924,-78.4953015
38,"Akron, OH",16512.0,27601.0,42728.0,69067.0,208435.0,255040.0,244791.0,274605.0,290351.0,275425.0,237177.0,223019.0,217074.0,199110.0,Akron city,41.081444700000006,-81.51900529999999
39,"Akron, PA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3149.0,3471.0,3869.0,4046.0,3876.0,Akron borough,40.1567616,-76.2021742
40,"Alabaster, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,2642.0,7079.0,14732.0,22619.0,30352.0,Alabaster city,33.244281300000004,-86.8163773
41,"Alachua, FL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3561.0,4529.0,6098.0,9059.0,Alachua city,29.797249172199997,-82.4948815797
42,"Alameda, CA",5708.0,11165.0,16464.0,23383.0,28806.0,35033.0,36256.0,64430.0,63855.0,70968.0,63852.0,76459.0,72259.0,73812.0,Alameda city,37.7652065,-122.2416355
43,"Alamo Heights, TX",0.0,0.0,0.0,0.0,0.0,3874.0,5700.0,8000.0,7552.0,6933.0,6252.0,6502.0,7319.0,7031.0,Alamo Heights city,29.484953100000002,-98.46585019999999
44,"Alamo, GA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2797.0,Alamo town,32.147120199999996,-82.7779171
45,"Alamo, TX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017.0,4121.0,4291.0,5831.0,8210.0,14760.0,18353.0,Alamo city,26.183685399999998,-98.1230638
46,"Alamogordo, NM",0.0,0.0,0.0,0.0,0.0,3096.0,3950.0,6783.0,21723.0,23035.0,24024.0,27596.0,35582.0,30403.0,Alamogordo city,32.8995325,-105.96026499999999
47,"Alamosa, CO",0.0,0.0,0.0,3013.0,3171.0,5107.0,5613.0,5354.0,6205.0,6985.0,6830.0,7579.0,7960.0,8780.0,Alamosa city,37.469449100000006,-105.87002150000001
48,"Albany, CA",0.0,0.0,0.0,808.0,2462.0,8569.0,11493.0,17590.0,14804.0,14674.0,15130.0,16327.0,16444.0,18539.0,Albany city,37.885802227,-122.305978754
49,"Albany, GA",3216.0,4008.0,4606.0,8190.0,11555.0,14507.0,19055.0,31155.0,55890.0,72623.0,74425.0,78122.0,76939.0,77434.0,Albany city,31.578507399999996,-84.155741
50,"Albany, IN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,0.0,0.0,0.0,0,40.3008764,-85.24191450000001
51,"Albany, MN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2561.0,Albany city,45.6299647,-94.57000479999999
52,"Albany, NY",90758.0,94923.0,94151.0,100253.0,113344.0,127412.0,130577.0,134995.0,129726.0,115781.0,101727.0,101082.0,95658.0,97856.0,Albany city,42.65257929999999,-73.7562317
